File,Diagram Number,Diagram Type,Has accTitle,Has accDescr,Missing Attributes,Compliance Status
.github/ISSUE_TEMPLATE/README.md,1,flowchart,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/README.md,1,flowchart,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/README.md,2,sequenceDiagram,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/README.md,3,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/README.md,4,flowchart,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/agentic-workflows/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.github/instructions/.archive/frontmatter.instructions.md,1,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/instructions/.archive/tests.instructions.md,1,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/instructions/.archive/tests.instructions.md,2,sequenceDiagram,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/instructions/.archive/tests.instructions.md,3,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/instructions/automation.instructions.md,1,graph,Yes,Yes,"—",✅ Accessible
.github/instructions/automation.instructions.md,2,sequenceDiagram,Yes,Yes,"—",✅ Accessible
.github/instructions/mermaid.instructions.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.github/instructions/mermaid.instructions.md,2,flowchart,Yes,Yes,"—",✅ Accessible
.github/instructions/mermaid.instructions.md,3,flowchart,Yes,Yes,"—",✅ Accessible
.github/operations/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.github/prompts/breakdown-plan.prompt.md,1,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/prompts/breakdown-plan.prompt.md,2,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/prompts/create-github-action-workflow-specification.prompt.md,1,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/prompts/create-github-action-workflow-specification.prompt.md,2,style,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/prompts/create-github-action-workflow-specification.prompt.md,3,graph,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/prompts/update-oo-component-documentation.prompt.md,1,unknown,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/reports/accessibility/MERMAID_ACCESSIBILITY_AUDIT_2026-08-19.md,1,unknown,Yes,No,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
.github/reports/accessibility/MERMAID_ACCESSIBILITY_AUDIT_2026-08-19.md,2,unknown,No,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
.github/reports/accessibility/MERMAID_ACCESSIBILITY_AUDIT_2026-08-19.md,3,unknown,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/reports/accessibility/MERMAID_ACCESSIBILITY_AUDIT_2026-08-19.md,4,flowchart,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/reports/accessibility/MERMAID_ACCESSIBILITY_AUDIT_2026-08-19.md,5,flowchart,Yes,Yes,"—",✅ Accessible
.github/reports/active/diagram-validation-2025-12-11.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.github/reports/active/readme-audit-2026-05-31.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.github/reports/active/wave-5-completion-summary.md,1,graph,Yes,Yes,"—",✅ Accessible
.github/reports/archive/deprecated-audits/2026-06-03-file-organisation-migration-plan-673.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.github/reports/archive/deprecated-audits/2026-06-03-file-organisation-migration-plan-673.md,2,gantt,Yes,Yes,"—",✅ Accessible
.github/reports/mermaid/diagram-validation-2025-12-11.md,1,flowchart,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
.github/rulesets/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.github/website/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
.vscode/README.md,1,flowchart,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
CONTRIBUTING.md,1,flowchart,Yes,Yes,"—",✅ Accessible
README.md,1,graph,Yes,Yes,"—",✅ Accessible
README.md,2,flowchart,Yes,Yes,"—",✅ Accessible
README.md,3,flowchart,Yes,Yes,"—",✅ Accessible
README.md,4,sequenceDiagram,Yes,Yes,"—",✅ Accessible
README.md,5,flowchart,Yes,Yes,"—",✅ Accessible
README.md,6,stateDiagram,Yes,Yes,"—",✅ Accessible
README.md,7,flowchart,Yes,Yes,"—",✅ Accessible
agents/chat-closure-agent/docs/ARCHITECTURE.md,1,graph,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,2,graph,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,3,sequenceDiagram,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,4,sequenceDiagram,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,5,graph,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,6,graph,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,7,graph,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,8,graph,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/chat-closure-agent/docs/ARCHITECTURE.md,9,graph,Yes,Yes,"accTitle/accDescr must appear after the diagram type declaration, not before it. Move the diagram type (e.g. `flowchart TD`) to the first line.",⚠️ Non-Compliant
agents/linear-advisor-agent/agent/references/agent_files/ISSUE_TEMPLATE/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,1,graph,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,2,flowchart,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,3,flowchart,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,4,flowchart,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,5,mindmap,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,6,sequenceDiagram,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,7,flowchart,Yes,Yes,"—",✅ Accessible
agents/linear-advisor-agent/agent/references/agent_files/docs/AGENT_CREATION.md,8,flowchart,Yes,Yes,"—",✅ Accessible
agents/prd-agent/CONTEXT_DETECTION.md,1,graph,Yes,Yes,"—",✅ Accessible
agents/prompt-engineer/README.md,1,graph,Yes,Yes,"—",✅ Accessible
agents/release/gates/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
agents/wordpress/README.md,1,graph,Yes,Yes,"—",✅ Accessible
ai/README.md,1,flowchart,No,No,"Missing accTitle — add it inline after the diagram type (e.g. `    accTitle: My title`); Missing accDescr — add it inline after the diagram type (e.g. `    accDescr: My description`)",⚠️ Non-Compliant
docs/AGENT_CREATION.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/AGENT_CREATION.md,2,flowchart,Yes,Yes,"—",✅ Accessible
docs/AGENT_CREATION.md,3,flowchart,Yes,Yes,"—",✅ Accessible
docs/AGENT_CREATION.md,4,flowchart,Yes,Yes,"—",✅ Accessible
docs/AGENT_CREATION.md,5,mindmap,Yes,Yes,"—",✅ Accessible
docs/AGENT_CREATION.md,6,sequenceDiagram,Yes,Yes,"—",✅ Accessible
docs/AGENT_CREATION.md,7,flowchart,Yes,Yes,"—",✅ Accessible
docs/AGENT_CREATION.md,8,flowchart,Yes,Yes,"—",✅ Accessible
docs/AGENT_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/AGENT_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/AI_REFERENCES_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/AI_REFERENCES_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/AUTOMATION_GOVERNANCE.md,1,flowchart,Yes,Yes,"—",✅ Accessible
docs/CANONICAL_CONFIGS_GUIDE.md,1,flowchart,Yes,Yes,"—",✅ Accessible
docs/CANONICAL_CONFIGS_GUIDE.md,2,sequenceDiagram,Yes,Yes,"—",✅ Accessible
docs/CHANGELOG_AUTOMATION.md,1,config,Yes,Yes,"YAML front-matter (---) syntax is not supported by GitHub's Mermaid renderer. Move accTitle and accDescr inline, after the diagram type declaration.",⚠️ Non-Compliant
docs/COOKBOOKS_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/COOKBOOKS_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/COOKBOOKS_STANDARDS.md,3,graph,Yes,Yes,"—",✅ Accessible
docs/COOKBOOKS_STANDARDS.md,4,graph,Yes,Yes,"—",✅ Accessible
docs/COOKBOOKS_STANDARDS.md,5,graph,Yes,Yes,"—",✅ Accessible
docs/HOOKS_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/HOOKS_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/HUSKY_PRECOMMITS.md,1,flowchart,Yes,Yes,"—",✅ Accessible
docs/INSTRUCTIONS_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/INSTRUCTIONS_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/PLUGINS_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/PLUGINS_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/PROMPTS_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/PROMPTS_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/SKILLS_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/SKILLS_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/WORKFLOWS_STANDARDS.md,1,graph,Yes,Yes,"—",✅ Accessible
docs/WORKFLOWS_STANDARDS.md,2,graph,Yes,Yes,"—",✅ Accessible
docs/profile/README.md,1,flowchart,Yes,Yes,"—",✅ Accessible
docs/profile/README.md,2,flowchart,Yes,Yes,"—",✅ Accessible
docs/profile/README.md,3,graph,Yes,Yes,"—",✅ Accessible
docs/profile/README.md,4,stateDiagram,Yes,Yes,"—",✅ Accessible
instructions/automation.instructions.md,1,graph,Yes,Yes,"—",✅ Accessible
instructions/automation.instructions.md,2,sequenceDiagram,Yes,Yes,"—",✅ Accessible
instructions/documentation-formats.instructions.md,1,flowchart,Yes,Yes,"—",✅ Accessible
instructions/documentation-formats.instructions.md,2,graph,Yes,Yes,"—",✅ Accessible
instructions/documentation-formats.instructions.md,3,graph,Yes,Yes,"—",✅ Accessible
instructions/documentation-formats.instructions.md,4,sequenceDiagram,Yes,Yes,"—",✅ Accessible
instructions/documentation-formats.instructions.md,5,stateDiagram,Yes,Yes,"—",✅ Accessible
instructions/documentation-formats.instructions.md,6,flowchart,Yes,Yes,"—",✅ Accessible
instructions/documentation-formats.instructions.md,7,stateDiagram,Yes,Yes,"—",✅ Accessible
instructions/linting.instructions.md,1,graph,Yes,Yes,"—",✅ Accessible
instructions/linting.instructions.md,2,graph,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,1,flowchart,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,2,flowchart,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,3,flowchart,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,4,graph,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,5,graph,Yes,Yes,"—",✅ Accessible
instructions/mermaid.instructions.md,6,sequenceDiagram,Yes,Yes,"—",✅ Accessible
